Year,Location,Cage_Num,Replication,Density_NN,Density_Num,Pre_Live_SD,Pre_Dead_SD,Pre_Pene_1,Pre_Pene_2,Pre_Pene_3,Pre_Pene_AVG,Post_Live_SD,Post_Dead_SD,Post_Pene_1,Post_Pene_2,Post_Pene_3,Post_Pene_AVG,Post_Burrow_Count,Post_Crab_Count,Post_Mussels,Spartina_Biomass,Year_2,Location_2,Cage_Num_2,Replication_2,Density_NN_2
2017,NAN,1_4,One,Four,4,32,7,9,9,9,9,24,4,1,1,1,1,10,,,52.7,2017,NAN,1_4,One,Four
2017,NAN,1_8,One,Eight,8,5,0,10,10,10,10,0,7,1,1,3,1.67,9,,,0.0001,2017,NAN,1_8,One,Eight
2017,NAN,1_12,One,Twelve,12,16,2,5,5,5,5,35,6,17,16,11,14.67,16,,,31.1,2017,NAN,1_12,One,Twelve
2017,NAN,1_16,One,Sixteen,16,21,1,21,21,21,21,4,3,9,10.5,24,14.5,17,,,12.1,2017,NAN,1_16,One,Sixteen
2017,NAN,1_20,One,Twenty,20,17,5,17,17,17,17,14,2,2,9,11,7.33,15,,,35.2,2017,NAN,1_20,One,Twenty
2017,NAN,1_CC,One,Caged_Control,0,30,9,9,9,9,9,11,9,5,7,25,12.33,8,,,52.8,2017,NAN,1_CC,One,Caged_Control
2017,NAN,1_CP,One,Control_Plot,,33,6,11,11,11,11,19,7,19,19,17,18.33,6,,,43.1,2017,NAN,1_CP,One,Control_Plot
2017,NAN,2_4,Two,Four,4,5,1,15,15,15,15,1,0,4,7,10,7,9,,,2.8,2017,NAN,2_4,Two,Four
2017,NAN,2_8,Two,Eight,8,41,4,6,6,6,6,21,5,15,11,13,13,14,,,61.9,2017,NAN,2_8,Two,Eight
2017,NAN,2_12,Two,Twelve,12,35,21,20,20,20,20,18,5,16,19,20,18.33,11,,,17.3,2017,NAN,2_12,Two,Twelve
2017,NAN,2_16,Two,Sixteen,16,40,15,18.5,18.5,18.5,18.5,17,0,13,10,10,11,11,,,7.1,2017,NAN,2_16,Two,Sixteen
2017,NAN,2_20,Two,Twenty,20,0,13,5.5,5.5,5.5,5.5,6,0,15,12,12,13,7,,,0.0001,2017,NAN,2_20,Two,Twenty
2017,NAN,2_CC,Two,Caged_Control,0,25,3,1,1,1,1,10,1,13,26.5,19.5,19.67,2,,,20.7,2017,NAN,2_CC,Two,Caged_Control
2017,NAN,2_CP,Two,Control_Plot,,21,3,1,1,1,1,6,1,16,16,20,17.33,4,,,19.9,2017,NAN,2_CP,Two,Control_Plot
2017,NAN,3_4,Three,Four,4,19,4,2,2,2,2,10,3,10,12,16,12.67,7,,,23.7,2017,NAN,3_4,Three,Four
2017,NAN,3_8,Three,Eight,8,25,7,1,1,1,1,12,5,18,25,16,19.67,5,,,48.2,2017,NAN,3_8,Three,Eight
2017,NAN,3_12,Three,Twelve,12,28,10,1,1,1,1,17,4,16,16,16,16,9,,,44.3,2017,NAN,3_12,Three,Twelve
2017,NAN,3_16,Three,Sixteen,16,28,4,1,1,1,1,7,5,17,16,13,15.33,12,,,15.6,2017,NAN,3_16,Three,Sixteen
2017,NAN,3_20,Three,Twenty,20,14,5,1,1,1,1,17,0,26,28,20,24.66,8,,,23.2,2017,NAN,3_20,Three,Twenty
2017,NAN,3_CC,Three,Caged_Control,0,45,8,1,1,1,1,22,5,25,20,16,20.33,1,,,29.5,2017,NAN,3_CC,Three,Caged_Control
2017,NAN,3_CP,Three,Control_Plot,,27,9,1,1,1,1,13,6,26,29,25,26.67,4,,,21.4,2017,NAN,3_CP,Three,Control_Plot
2017,NAN,4_4,Four,Four,4,42,12,3,3,3,3,18,4,25,29,29,27.67,9,,,0.0001,2017,NAN,4_4,Four,Four
2017,NAN,4_8,Four,Eight,8,43,6,2,2,2,2,21,2,17,20,20,19,6,,,27.9,2017,NAN,4_8,Four,Eight
2017,NAN,4_12,Four,Twelve,12,38,13,11,11,11,11,13,2,22,18,20,20,8,,,13.1,2017,NAN,4_12,Four,Twelve
2017,NAN,4_16,Four,Sixteen,16,42,16,2,2,2,2,18,5,20,21,25,22,8,,,17.5,2017,NAN,4_16,Four,Sixteen
2017,NAN,4_20,Four,Twenty,20,32,19,1,1,1,1,14,1,13.5,24.5,21,19.67,11,,,25.1,2017,NAN,4_20,Four,Twenty
2017,NAN,4_CC,Four,Caged_Control,0,33,11,6,6,6,6,14,0,3,10.5,16,9.83,11,,,7.6,2017,NAN,4_CC,Four,Caged_Control
2017,NAN,4_CP,Four,Control_Plot,,43,14,1,1,1,1,13,5,9.5,6.5,18,11.33,13,,,14.5,2017,NAN,4_CP,Four,Control_Plot
2017,PIE,1_4,One,Four,4,14,0,14,14,14,14,17,2,14,12.5,10,12.167,1,,,37.57,2017,PIE,1_4,One,Four
2017,PIE,1_8,One,Eight,8,16,1,8,8,8,8,12,3,9.5,9.5,18,12.33,2,,,43.64,2017,PIE,1_8,One,Eight
2017,PIE,1_12,One,Twelve,12,8,4,25,25,25,25,20,6,24,23.5,19,22.167,2,,,77.48,2017,PIE,1_12,One,Twelve
2017,PIE,1_16,One,Sixteen,16,14,6,17,17,17,17,10,5,24.5,15,7.5,15.67,0,,,70.6,2017,PIE,1_16,One,Sixteen
2017,PIE,1_20,One,Twenty,20,23,5,19,19,19,19,25,2,24,22,28.5,24.83,0,,,87.68,2017,PIE,1_20,One,Twenty
2017,PIE,1_CC,One,Caged_Control,0,17,2,11.5,11.5,11.5,11.5,11,8,11.5,9.5,18,13,0,,,46.25,2017,PIE,1_CC,One,Caged_Control
2017,PIE,1_CP,One,Control_Plot,,25,7,18,18,18,18,3,9,20,39.5,27,28.83,0,,,19.04,2017,PIE,1_CP,One,Control_Plot
2017,PIE,2_4,Two,Four,4,10,8,21,21,21,21,14,3,18.5,20,18.5,19,0,,,39.98,2017,PIE,2_4,Two,Four
2017,PIE,2_8,Two,Eight,8,16,3,6,6,6,6,15,5,21,29,22.5,24.167,3,,,36.47,2017,PIE,2_8,Two,Eight
2017,PIE,2_12,Two,Twelve,12,10,5,18,18,18,18,16,5,25.5,32,33,30.167,0,,,50.3,2017,PIE,2_12,Two,Twelve
2017,PIE,2_16,Two,Sixteen,16,11,6,19.5,19.5,19.5,19.5,7,8,32,35.5,36.5,34.67,2,,,34.63,2017,PIE,2_16,Two,Sixteen
2017,PIE,2_20,Two,Twenty,20,12,3,22,22,22,22,11,6,27,24,27,26,0,,,27.93,2017,PIE,2_20,Two,Twenty
2017,PIE,2_CC,Two,Caged_Control,0,10,7,27,27,27,27,6,7,29,49,47,41.67,0,,,48.53,2017,PIE,2_CC,Two,Caged_Control
2017,PIE,2_CP,Two,Control_Plot,,21,3,11,11,11,11,20,8,34,26.5,20.5,27,1,,,95.01,2017,PIE,2_CP,Two,Control_Plot
2017,PIE,3_4,Three,Four,4,19,3,16,16,16,16,13,5,24,30,31.5,28.5,1,,,81.65,2017,PIE,3_4,Three,Four
2017,PIE,3_8,Three,Eight,8,14,3,3,3,3,3,11,6,24,13,28,21.67,2,,,130.65,2017,PIE,3_8,Three,Eight
2017,PIE,3_12,Three,Twelve,12,9,2,5,5,5,5,9,3,12,16.5,17,15.167,4,,,66.84,2017,PIE,3_12,Three,Twelve
2017,PIE,3_16,Three,Sixteen,16,5,4,14.5,14.5,14.5,14.5,8,2,24,28.5,22.5,25,6,,,25.14,2017,PIE,3_16,Three,Sixteen
2017,PIE,3_20,Three,Twenty,20,8,3,13,13,13,13,8,5,22.5,32.5,24,26.33,4,,,47.08,2017,PIE,3_20,Three,Twenty
2017,PIE,3_CC,Three,Caged_Control,0,16,5,26.5,26.5,26.5,26.5,16,10,37,48,50.5,45.167,0,,,62.52,2017,PIE,3_CC,Three,Caged_Control
2017,PIE,3_CP,Three,Control_Plot,,13,3,20.5,20.5,20.5,20.5,11,1,33.5,45.5,24,34.33,0,,,75.67,2017,PIE,3_CP,Three,Control_Plot
2017,PIE,4_4,Four,Four,4,15,11,13,13,13,13,4,13,23,41.5,29,31.167,0,,,41.84,2017,PIE,4_4,Four,Four
2017,PIE,4_8,Four,Eight,8,8,5,13,13,13,13,8,6,13,25.5,35,24.5,1,,,36.58,2017,PIE,4_8,Four,Eight
2017,PIE,4_12,Four,Twelve,12,16,9,17.5,17.5,17.5,17.5,17,6,35,27,28,30,1,,,73.26,2017,PIE,4_12,Four,Twelve
2017,PIE,4_16,Four,Sixteen,16,15,8,20.5,20.5,20.5,20.5,8,7,31.5,24,45,33.5,2,,,32.02,2017,PIE,4_16,Four,Sixteen
2017,PIE,4_20,Four,Twenty,20,5,2,23,23,23,23,2,3,27.5,24.5,33,28.33,4,,,6.76,2017,PIE,4_20,Four,Twenty
2017,PIE,4_CC,Four,Caged_Control,0,9,10,37,37,37,37,8,5,33.5,29,40,34.167,0,,,25.66,2017,PIE,4_CC,Four,Caged_Control
2017,PIE,4_CP,Four,Control_Plot,,11,7,14,14,14,14,7,7,17,38,15.5,23.5,0,,,32.45,2017,PIE,4_CP,Four,Control_Plot
2018,NAN,1_CC,One,Caged_Control,0,51,14,9.5,3,5.5,6,89,4,29.5,12.5,5,15.67,10,5,109,62.71,2018,NAN,1_CC,One,Caged_Control
2018,NAN,1_4,One,Four,4,46,16,12.5,41.5,7.5,20.5,54,3,44,1,7.5,17.5,5,4,49,21.53,2018,NAN,1_4,One,Four
2018,NAN,1_8,One,Eight,8,69,19,5,1,14,6.67,22,11,8.5,5,57.5,23.67,9,7,6,46.24,2018,NAN,1_8,One,Eight
2018,NAN,1_12,One,Twelve,12,59,34,16,0,1,5.67,47,16,20.5,37.5,5,21,14,4,21,45.88,2018,NAN,1_12,One,Twelve
2018,NAN,1_16,One,Sixteen,16,86,26,0,18.5,11.5,10,66,13,11.5,4,15,10.17,18,8,11,35.13,2018,NAN,1_16,One,Sixteen
2018,NAN,1_20,One,Twenty,20,84,18,2,0,1,1,57,2,1,19,23,14.33,7,0,41,49.61,2018,NAN,1_20,One,Twenty
2018,NAN,1_CP,One,Control_Plot,,65,39,1,13.5,10,8.167,39,15,33.5,7.5,25,22,7,3,8,41.89,2018,NAN,1_CP,One,Control_Plot
2018,NAN,2_CC,Two,Caged_Control,0,59,23,6,9,17.5,10.83,46,18,13,9,9.5,10.5,25,1,37,47.69,2018,NAN,2_CC,Two,Caged_Control
2018,NAN,2_4,Two,Four,4,17,20,12,16.5,25.5,18,22,10,9.5,26.5,3,13,31,0,7,26.23,2018,NAN,2_4,Two,Four
2018,NAN,2_8,Two,Eight,8,24,20,14.5,17.5,31,21,37,14,8.5,0,10,6.167,17,0,15,45.45,2018,NAN,2_8,Two,Eight
2018,NAN,2_12,Two,Twelve,12,44,22,31.5,11.5,15,19.33,53,11,8,9,28,15,29,3,8,31.17,2018,NAN,2_12,Two,Twelve
2018,NAN,2_16,Two,Sixteen,16,45,22,18.5,16.5,16,17,38,11,4,2,12,6,29,5,6,60.44,2018,NAN,2_16,Two,Sixteen
2018,NAN,2_20,Two,Twenty,20,51,30,12,16,19,15.67,52,19,17,11,13,13.67,24,6,41,50.79,2018,NAN,2_20,Two,Twenty
2018,NAN,2_CP,Two,Control_Plot,,19,15,10.5,29,10.5,16.67,12,11,8.5,8.5,0,5.67,22,2,7,14.02,2018,NAN,2_CP,Two,Control_Plot
2018,NAN,3_CC,Three,Caged_Control,0,37,14,5,0,0,1.67,65,26,5,14.5,12,10.5,27,1,15,34.54,2018,NAN,3_CC,Three,Caged_Control
2018,NAN,3_4,Three,Four,4,53,18,5,5,13,7.67,23,9,0,35,7.5,14.167,35,0,14,48.16,2018,NAN,3_4,Three,Four
2018,NAN,3_8,Three,Eight,8,46,9,20,13,21,18,31,15,13,6,26.5,15.167,31,0,9,32.44,2018,NAN,3_8,Three,Eight
2018,NAN,3_12,Three,Twelve,12,49,12,14,8,5,9,55,10,27.5,14,5,15.5,37,6,16,33.13,2018,NAN,3_12,Three,Twelve
2018,NAN,3_16,Three,Sixteen,16,89,4,0,0,15,5,52,2,3,14,3,6.67,16,1,6,47.94,2018,NAN,3_16,Three,Sixteen
2018,NAN,3_20,Three,Twenty,20,48,8,0,14,0,4.67,49,13,0,9.5,14,7.83,19,0,42,95.02,2018,NAN,3_20,Three,Twenty
2018,NAN,3_CP,Three,Control_Plot,,30,42,10,8,5,7.67,71,40,10,20,11,13.67,17,5,33,28.22,2018,NAN,3_CP,Three,Control_Plot
2018,NAN,4_CC,Four,Caged_Control,0,29,20,0,10,0,3.33,33,38,14,4,6,8,10,0,21,52.74,2018,NAN,4_CC,Four,Caged_Control
2018,NAN,4_4,Four,Four,4,45,4,0,5,17,7.33,25,12,2,3,1,2,35,0,5,42.97,2018,NAN,4_4,Four,Four
2018,NAN,4_8,Four,Eight,8,43,13,5,5,5,5,36,14,13.4,13.5,14,13.63,17,1,11,61.33,2018,NAN,4_8,Four,Eight
2018,NAN,4_12,Four,Twelve,12,44,9,0,14,17,10.33,27,14,26.5,26.5,10.5,21.167,13,0,5,20.74,2018,NAN,4_12,Four,Twelve
2018,NAN,4_16,Four,Sixteen,16,28,17,0,0,0,0,18,17,13.5,15.5,8,12.33,20,3,22,51.09,2018,NAN,4_16,Four,Sixteen
2018,NAN,4_20,Four,Twenty,20,52,19,8,10,13,10.33,24,21,7,7,13,9,20,2,9,55.95,2018,NAN,4_20,Four,Twenty
2018,NAN,4_CP,Four,Control_Plot,,41,11,0,0,0,0,46,14,1,1,0,0.67,14,1,3,48.14,2018,NAN,4_CP,Four,Control_Plot